id,value
1,22
2,71
3,19
4,62
5,87
6,68
7,18
8,99
9,97
10,68
11,84
12,1
13,26
14,83
15,22
16,82
17,84
18,73
19,100
20,60
21,80
22,23
23,20
24,14
25,66
26,32
27,19
28,38
29,89
30,20
31,73
32,30
33,44
34,71
35,50
36,80
37,43
38,32
39,36
40,75
41,92
42,79
43,50
44,72
45,60
46,41
47,67
48,41
49,37
50,90
51,59
52,33
53,77
54,67
55,29
56,89
57,22
58,54
59,20
60,60
61,8
62,17
63,88
64,40
65,67
66,63
67,29
68,77
69,91
70,94
71,64
72,15
73,6
74,1
75,71
76,73
77,63
78,10
79,87
80,8
81,22
82,37
83,82
84,29
85,83
86,42
87,98
88,27
89,93
90,20
91,50
92,46
93,83
94,59
95,82
96,67
97,30
98,83
99,47
100,96
101,62
102,72
103,78
104,41
105,22
106,17
107,84
108,40
109,85
110,72
111,9
112,92
113,100
114,10
115,97
116,7
117,68
118,30
119,57
120,97
121,92
122,8
123,14
124,76
125,76
126,25
127,31
128,48
129,83
130,50
131,38
132,61
133,83
134,41
135,43
136,38
137,24
138,25
139,41
140,86
141,54
142,4
143,71
144,15
145,99
146,93
147,71
148,24
149,73
150,31
151,20
152,70
153,5
154,83
155,32
156,65
157,58
158,27
159,76
160,74
161,3
162,100
163,30
164,42
165,59
166,23
167,4
168,24
169,40
170,81
171,68
172,57
173,62
174,71
175,71
176,72
177,29
178,90
179,64
180,75
181,5
182,55
183,18
184,29
185,96
186,91
187,43
188,25
189,12
190,5
191,94
192,58
193,55
194,50
195,73
196,31
197,80
198,49
199,36
200,49
201,5
202,37
203,42
204,50
205,6
206,54
207,6
208,77
209,8
210,39
211,94
212,41
213,89
214,100
215,44
216,100
217,22
218,96
219,7
220,49
221,71
222,81
223,48
224,98
225,48
226,79
227,76
228,48
229,5
230,43
231,28
232,48
233,79
234,38
235,38
236,43
237,19
238,10
239,91
240,61
241,35
242,30
243,69
244,46
245,62
246,45
247,74
248,16
249,82
250,60
251,54
252,94
253,37
254,94
255,77
256,100
257,8
258,35
259,47
260,66
261,69
262,50
263,14
264,22
265,23
266,70
267,5
268,42
269,81
270,13
271,64
272,29
273,82
274,75
275,59
276,2
277,79
278,11
279,95
280,100
281,56
282,95
283,70
284,91
285,54
286,95
287,24
288,56
289,8
290,89
291,84
292,2
293,21
294,65
295,38
296,45
297,1
298,94
299,12
300,52
301,64
302,26
303,21
304,73
305,45
306,64
307,8
308,54
309,99
310,69
311,76
312,38
313,64
314,47
315,41
316,36
317,32
318,26
319,42
320,47
321,93
322,75
323,67
324,93
325,8
326,50
327,100
328,60
329,9
330,81
331,3
332,34
333,93
334,91
335,7
336,33
337,23
338,31
339,54
340,49
341,42
342,37
343,88
344,20
345,61
346,92
347,44
348,88
349,27
350,61
351,78
352,94
353,23
354,15
355,33
356,26
357,82
358,11
359,66
360,88
361,61
362,64
363,23
364,88
365,67
366,67
367,43
368,31
369,76
370,77
371,91
372,7
373,30
374,28
375,5
376,41
377,92
378,6
379,13
380,14
381,17
382,86
383,5
384,84
385,44
386,74
387,24
388,31
389,50
390,10
391,65
392,88
393,18
394,58
395,78
396,42
397,68
398,67
399,66
400,44
401,36
402,58
403,8
404,83
405,48
406,95
407,26
408,24
409,31
410,27
411,73
412,81
413,15
414,9
415,19
416,32
417,9
418,35
419,88
420,18
421,33
422,6
423,45
424,35
425,59
426,67
427,63
428,72
429,58
430,85
431,45
432,88
433,35
434,39
435,89
436,1
437,36
438,1
439,5
440,67
441,5
442,68
443,51
444,56
445,41
446,55
447,47
448,89
449,25
450,41
451,40
452,24
453,47
454,58
455,22
456,70
457,76
458,65
459,6
460,87
461,16
462,81
463,66
464,87
465,26
466,13
467,96
468,15
469,74
470,19
471,11
472,97
473,58
474,78
475,78
476,21
477,39
478,27
479,72
480,61
481,55
482,91
483,84
484,66
485,98
486,49
487,93
488,72
489,71
490,59
491,74
492,57
493,74
494,13
495,27
496,31
497,67
498,80
499,10
500,71
501,96
502,23
503,74
504,95
505,34
506,95
507,64
508,68
509,13
510,62
511,30
512,11
513,4
514,80
515,42
516,92
517,51
518,61
519,94
520,84
521,61
522,100
523,93
524,31
525,4
526,20
527,1
528,73
529,49
530,56
531,27
532,36
533,67
534,11
535,88
536,71
537,8
538,35
539,96
540,75
541,19
542,88
543,3
544,11
